filename,label,split,confidence_score,original_width,original_height,crop_width,crop_height,mask_area_pct
001_jpg.png,Normal,train,0.8906790614128113,4288,2848,4223,1367,29.77
003_jpg.png,Normal,test,0.8946346044540405,4288,2848,3779,2010,38.51
004_JPG.png,Normal,test,0.8844497799873352,3008,2000,2834,1107,31.88
005_jpg.png,Normal,val,0.8443666100502014,4288,2848,4288,1437,23.5
008_JPG.png,Normal,val,0.9138755202293396,3008,2000,2859,1102,29.76
010_jpg.png,Normal,train,0.8769198656082153,4288,2848,4288,2000,44.69
012_jpg.png,TF,train,0.9311313033103943,4288,2848,4210,1636,34.1
014_jpg.png,TF,train,0.9408743977546692,4288,2848,3468,1588,25.03
015_jpg.png,Normal,train,0.8349922299385071,4288,2848,3975,1368,29.94
016_jpg.png,TI,train,0.9091620445251465,4288,2848,4288,1834,27.79
017_jpg.png,TF,train,0.9153393507003784,4288,2848,4152,1463,30.47
018_JPG.png,Normal,train,0.8628119826316833,3008,2000,2882,1419,44.41
019_jpg.png,Normal,train,0.9151788949966431,4288,2848,4042,1635,28.88
022_JPG.png,Normal,train,0.9208248853683472,3008,2000,3005,1054,31.53
024_jpg.png,TF,test,0.9421730637550354,4288,2848,4288,1536,33.61
027_jpg.png,Normal,test,0.8867745995521545,4288,2848,3814,1637,27.01
029_JPG.png,Normal,train,0.9169065952301025,3008,2000,2718,1030,29.58
0301001_1_jpg.png,TF,train,0.8230931758880615,2048,1536,1532,663,19.68
0301001_2_jpg.png,TF,val,0.8633262515068054,2048,1536,1477,625,17.64
0301002_4_jpg.png,Normal,train,0.8739896416664124,2048,1536,1630,554,17.3
0301002_5_jpg.png,Normal,train,0.8829629421234131,2048,1536,1577,580,16.47
0301003_7_jpg.png,TF,test,0.8851115107536316,2048,1536,1593,696,21.04
0301003_8_jpg.png,TF,train,0.8470349907875061,2048,1536,1401,689,17.85
0301003_9_jpg.png,TF,train,0.9090229272842407,2048,1536,1399,650,16.54
0301004_11_jpg.png,Normal,train,0.6984887719154358,2048,1536,1588,545,14.13
0301004_12_jpg.png,Normal,train,0.6836,2048,1536,1350,406,9.49
0301005_14_jpg.png,Normal,train,0.8666976094245911,2048,1536,1491,677,17.99
0301005_15_jpg.png,Normal,train,0.8794053792953491,2048,1536,1250,578,13.14
0301007_20_jpg.png,Normal,test,0.8266412019729614,2048,1536,1491,554,15.13
0301007_21_jpg.png,Normal,train,0.847433865070343,2048,1536,1525,537,14.03
0301007_22_jpg.png,Normal,train,0.7377262711524963,2048,1536,1603,547,15.4
0301008_24_jpg.png,Normal,train,0.8843507766723633,2048,1536,1698,749,21.45
0301008_25_jpg.png,Normal,train,0.8932348489761353,2048,1536,1614,746,20.34
0301010_30_jpg.png,Normal,train,0.865092396736145,2048,1536,1553,680,18.29
0301011_33_jpg.png,Normal,val,0.9224734902381897,2048,1536,1726,706,21.32
